,Tin,Tmax1,Tout1,Tmax2,Tout2,Tcin1,Tcin2,z1,z2,Fi1,Fi2,Fs1,Fs2,Press,Conv,Mn,Mw,LCB,SCB
45,206.47,295.67,231.56,284.88,243.33,116.85,117.93,0.031,0.577,0.4641,0.4617,665.86,250.06,3007,0.1332,27332,163409,0.797,26.09
46,208.67,297.05,235.07,283.84,245.05,117.25,118.47,0.028,0.579,0.4612,0.4529,664.51,242.98,2991,0.1314,27292,163121,0.791,26.14
47,204.13,295.43,231.37,282.17,239.77,116.84,117.55,0.032,0.586,0.4747,0.4652,658.65,243.65,2979,0.1333,27540,167798,0.801,25.93
48,207.65,295.79,228.75,281.5,242.38,116.43,118.32,0.029,0.585,0.4595,0.4318,671.69,250.1,2976,0.1303,27485,163268,0.781,25.95
49,208.59,299.06,240.13,287.57,246.37,117.75,118.04,0.027,0.573,0.4753,0.503,663.16,246.91,3030,0.1351,26876,162292,0.814,26.42
50,209.24,297.47,228.42,281.15,236.85,116.15,117.1,0.027,0.588,0.4774,0.4377,676.67,246.38,3004,0.1314,27322,157795,0.777,26.03
51,207,295.72,233.06,280.57,241.19,117.09,118.04,0.03,0.596,0.459,0.459,666,246,3000,0.1307,27487,158666,0.77,25.94
52,207,295.72,233.06,278.86,240.61,117.09,118.13,0.03,0.605,0.459,0.459,666,246,3000,0.1299,27552,156977,0.76,25.87
53,207,295.72,233.06,276.79,239.94,117.09,118.24,0.03,0.616,0.459,0.459,666,246,3000,0.129,27632,155208,0.748,25.8
54,207,295.72,233.06,274.28,239.15,117.09,118.38,0.03,0.631,0.459,0.459,666,246,3000,0.1279,27732,153333,0.734,25.71
