Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
3-07:00,26.5,16.3,75.411,1229.199,358.256,352.871,325.69,1.416,531.174,6.25,17.81,45.762,59.183,319.99,296.154,149.077,701.273,1026.333,259.773,42.596,250.775,31.91
3-08:00,23.2,16.7,73.381,1225.454,288.327,353.4,325.761,1.532,546.814,,17.806,45.719,60.071,319.983,295.603,150.092,784.624,1019.652,453.101,49.5,250.873,
3-09:00,24.2,16.458,75.625,1244.665,270.511,355.729,328.243,1.484,611.104,6.24,17.898,46.846,70.49,321.568,297.158,171.818,845.316,1037.773,405.866,47.239,250.185,32.02
3-10:00,19.08,15.8,80.737,1243.342,186.308,356.35,329.311,,645.741,6.21,17.91,47.57,71.339,321.393,296.042,177.948,847.3,1148.683,1.328,55.715,250.134,31.61
3-11:00,19.69,15.4,83.888,1242.249,220.164,358.465,331.407,1.381,676.569,,17.964,48.228,74.504,323.139,297.383,182.2,850.555,1097.623,0,55.181,249.984,
3-12:00,19.38,14.808,88.141,1246.467,277.329,357.52,330.745,1.407,638.519,6.25,17.271,48.456,74.828,323.218,299.259,183.086,824.157,1016.885,3.189,50.805,250.246,31.47
3-13:00,19.52,14.142,83.995,1234.024,290.876,355.292,329.413,1.347,599.66,,16.909,48.14,72.356,322.13,297.551,174.133,722.763,913.958,0,47.236,250.531,
3-14:00,18.48,14.692,83.875,1249.042,313.769,356.736,330.817,1.329,591.166,6.163,17.091,47.708,71.491,322.343,296.754,171.423,1004.109,873.657,290.629,51.299,250.236,31.33
3-15:00,21.19,14.892,85.79,1236.802,352.862,356.085,330.491,1.329,602.305,,17.905,47.492,69.36,321.658,296.514,164.008,977.966,879.501,115.097,47.532,249.432,
3-16:00,19.77,14.417,90.656,1257.845,342.359,355.068,329.331,1.368,585.418,6.24,17.904,47.056,67.387,321.513,296.9,162.24,900.655,975.961,1.328,48.394,249.478,31.13
3-17:00,20.05,13.875,91.706,1294.578,296.323,354.997,329.047,1.349,594.37,,17.905,47.47,68.73,321.93,296.716,159.951,922.119,961.813,123.205,49.403,249.173,
3-18:00,19.3,14.433,88.703,1280.284,275.798,362.372,329.83,1.31,590.301,6.198,17.98,47.437,71.715,322.412,297.129,159.08,952.229,898.374,503.813,50.711,248.954,31.41
3-19:00,23.19,14.775,86.705,1281.073,340.223,364.498,328.721,1.343,591.776,,17.994,47.573,68.816,321.531,296.887,164.365,980,861.028,461.79,47.09,249.173,
3-20:00,23.71,15.433,82.792,1277.76,342.858,364.508,328.355,1.474,576.212,6.165,17.995,47.054,66.395,321.396,296.667,158.387,969.726,893.16,389.143,47.404,249.539,31.64
3-21:00,23.5,15.2,83.738,1281.195,322.741,363.857,328.782,,601.135,6.227,18.183,46.782,67.824,321.185,296.981,162.953,966.776,996.708,142.531,48.223,248.817,31.45
3-22:00,21.5,15.3,85.534,1285.862,286.833,363.723,328.253,1.431,610.443,,18.201,46.911,68.18,320.737,296.52,163.69,949.89,995.799,11.116,52.505,248.822,
3-23:00,21.6,15.033,86.998,1284.668,280.871,364.976,329.189,1.4,633.229,6.194,18.2,46.764,71.008,321.979,298.587,167.277,859.354,995.551,194.496,50.608,248.751,31.49
4-00:00,23.3,14.767,83.991,1294.158,316.177,363.847,328.619,1.389,628.092,,18.199,47.04,70.337,321.193,297.726,167.201,921.508,995.924,379.158,50.458,248.847,
4-01:00,20.9,15.408,75.76,1277.817,327.156,363.928,329.128,1.356,629.771,6.236,18.2,47.489,71.649,321.499,297.111,170.597,867.289,1015.97,577.984,51.798,248.624,31.03
4-02:00,23.5,16.867,76.937,1284.849,334.17,364.132,329.25,1.551,620.208,,18.201,47.858,72.448,322.259,297.509,171.093,888.854,1019.068,603.462,50.394,248.435,
4-03:00,24.2,16.7,78.434,1287.619,344.674,362.799,328.935,1.553,606.119,6.23,18.199,48.066,71.263,321.226,297.391,167.074,940.124,1102.843,598.171,50.595,248.578,31.38
4-04:00,17.7,16.417,80.415,1287.981,283.826,363.959,329.097,1.538,627.583,,18.199,48.108,71.7,321.005,295.558,166.654,965.555,1118.225,556.742,55.284,248.359,
4-05:00,18,16.125,79.956,1289.283,66.082,367.427,332.322,1.431,686.279,6.22,18.287,48.628,75.067,322.399,295.44,177.999,930.359,1129.319,550.796,56.761,248.496,31.16
4-06:00,17.8,15.955,80.625,1286.329,156.721,368.872,333.146,1.484,679.413,,18.299,48.618,74.62,323.192,296.147,176.854,944.535,1124.246,421.427,55.49,248.812,
4-07:00,17.7,14.075,91.774,1291.721,167.936,367.234,332.21,1.449,671.122,6.22,18.206,48.6,74.579,322.913,297.103,175.226,949.28,1144.876,76.55,52.766,248.924,30.98
4-08:00,17.1,13.258,96.232,1285.492,202.472,365.698,330.257,,660.288,6.217,18.199,48.976,73.979,321.387,296.25,178.114,922.576,994.474,0,53.806,249.102,31.37
4-09:00,18.5,13.358,95.904,1281.919,225.252,365.596,330.511,1.294,652.932,,18.201,49.232,74.598,321.99,296.938,175.734,914.998,927.835,0,51.202,248.997,
4-10:00,19.95,13.367,98.838,1293.948,332.497,364.488,328.589,1.286,586.232,6.213,18.204,49.086,71.217,321.557,299.476,157.903,910.217,942.13,0,46.018,249.417,31.52
4-11:00,21.4,13.092,87.811,1296.683,324.45,362.311,325.507,1.201,562.835,,18.206,48.936,68.257,319.893,297.357,155.512,803.304,980.797,34.896,43.97,249.844,
4-12:00,22.8,14.767,77.912,1286.968,339.582,363.359,326.025,1.23,569.295,6.149,18.367,48.588,66.085,320.21,297.125,150.501,786.468,960.45,416.05,43.316,251.955,30.33
4-13:00,23.7,16.518,78.458,1277.55,342.11,363.287,325.232,1.433,571.686,,18.398,48.404,66.242,320.164,296.907,151.849,789.113,962.725,418.099,41.936,253.7,
4-14:00,24,16.283,76.717,1262.337,329.827,362.413,325.008,1.501,563.344,6.13,18.401,48.489,66.721,319.453,296.084,151.735,858.975,999.078,453.716,43.613,254.122,30.21
4-15:00,18.8,16.455,71.679,1191.663,195.725,359.473,326.503,1.48,625.396,,18.577,48.937,68.831,319.528,295.052,162.329,1007.466,1017.774,528.605,54.167,253.054,
4-16:00,17.8,16.625,78.367,1276.082,202.744,360.127,329.266,1.488,698.486,6.126,18.596,49.881,75.296,321.658,297.088,180.438,1017.333,1052.785,433.089,54.675,251.747,30.32
4-17:00,18.2,16.283,83.508,1288.104,234.284,359.412,328.67,1.534,692.687,,18.602,50.024,74.528,321.224,298.231,173.827,854.573,1174.267,62.077,50.653,252.474,
4-18:00,15.5,15.425,92.142,1289.992,124.655,357.601,326.656,1.627,685.114,6.14,18.599,50.658,75.974,319.57,296.014,163.066,764.699,1140.294,0,52.051,252.792,30.3
4-19:00,14.17,14,97.813,1296.018,41.057,359.34,328.212,1.54,701.08,,18.6,49.883,74.319,320.499,296.23,182.323,811.849,997.515,0,54.21,252.265,
4-20:00,17.43,13.25,100.322,1301.675,241.529,359.91,328.609,1.418,690.196,6.15,18.597,48.848,73.78,321.33,297.975,156.148,863.677,918.058,0,50.869,252.143,30.54
4-21:00,18.3,12.975,92.67,1276.523,325.519,358.415,327.409,1.234,653.015,,18.594,48.718,71.517,321.175,298.791,172.009,849.69,934.048,54.534,46.055,252.464,
4-22:00,20.55,13.775,88.829,1293.196,419.014,357.713,326.514,1.182,603.424,6.13,18.598,48.54,70.556,320.379,296.539,148.154,862.203,899.259,283.371,45.403,252.637,30.3
4-23:00,22.35,14.558,86.845,1293.985,402.245,358.486,327.277,1.221,578.298,,18.599,48.399,68.791,321.068,297.094,155.118,853.556,959.878,224.557,41.932,252.932,
5-00:00,25.56,14.9,84.953,1289.167,373.726,358.028,326.809,1.265,568.074,6.207,18.595,48.322,63.684,320.797,296.457,147.131,860.372,1014.646,149.973,43.781,252.652,31.796
5-01:00,24.29,15.175,85.006,1294.216,320.89,358.343,327.266,1.309,592.336,,18.594,48.754,67.921,320.908,296.201,155.093,895.67,1043.082,150.746,47.414,252.743,
5-02:00,25.3,15.225,82.03,1280.837,312.879,358.944,327.582,1.335,615.58,6.147,18.712,48.818,72.743,321.206,296.893,164.746,965.018,1043.596,213.414,49.987,251.192,30.595
5-03:00,21.88,15.614,81.35,1279.221,338.514,359.371,327.327,1.374,635.721,,18.796,48.586,72.163,321.381,298.083,168.269,1015.502,1038.527,206.235,49.214,251.106,
5-04:00,20.54,15.725,81.352,1288.755,317.081,360.798,327.891,1.378,652.608,6.171,18.83,48.736,72.265,321.066,297.332,169.223,1057.718,1059.223,202.14,51.86,250.917,30.831
5-05:00,20.1,15.842,81.953,1288.159,304.334,361.477,328.467,1.422,660.491,,18.902,49.092,72.895,321.837,297.522,171.754,1080.366,1068.905,201.619,52.815,250.75,
5-06:00,17.86,15.718,83.52,1295.945,280.017,362.931,329.464,1.439,670.061,6.184,18.902,49.477,74.47,322.398,296.594,180.196,1066.467,1103.372,208.015,53.858,251.032,30.788
5-07:00,19.9,15.517,84.422,1285.326,315.3,364.111,330.187,1.469,669.85,,18.97,49.556,73.643,323.151,296.358,168.791,1057.209,1111.638,171.26,53.419,250.989,
5-08:00,16.8,15.225,87.252,1297.566,280.48,364.549,328.599,,675.344,6.171,19.004,49.707,74.147,323.463,295.951,171.741,1107.84,1093.737,204.197,53.685,251.131,30.793
5-09:00,17,15.3,86.739,1293.193,306.545,363.568,329.25,1.458,674.738,,19.004,49.011,73.966,323.607,297.145,168.796,1059.614,1098.137,211.616,52.157,251.066,
5-10:00,19.1,14.758,86.334,1280.625,345.457,363.033,327.42,1.429,661.966,6.173,19.005,48.409,71.619,322.223,297.373,162.711,1020.08,1091.128,235.328,51.462,251.482,30.658
5-11:00,22.2,15.283,116.74,1305.544,381.197,362.447,327.168,1.353,658.508,,19.004,48.408,72.972,322.472,298.07,166.399,1226.277,1075.02,185.555,49.46,251.807,
5-12:00,21.44,15.483,84.586,1287.822,344.495,356.706,326.625,1.482,668.731,,19.26,48.795,73.287,322.282,295.368,168.994,1075.825,1130.605,201.929,52.166,249.865,
5-13:00,21.6,15.225,83.837,1292.488,338.941,356.177,325.201,1.498,652.608,6.175,19.296,48.634,72.87,322.118,297.661,162.38,1073.994,1153.335,201.956,49.873,250.531,30.711
5-14:00,18.64,15.417,81.563,1281.904,220.932,357.377,324.194,1.486,667.104,,19.341,48.582,72.153,321.477,295.596,171.105,1076.232,1153.547,195.651,53.022,250.663,
5-15:00,19.05,15.717,81.682,1290.579,239.625,359.412,325.385,1.503,681.447,6.17,19.457,48.3,73.002,322.368,295.601,171.258,985.053,1153.479,272.387,53.28,250.165,31.04
5-16:00,18.73,15.8,83.012,1285.176,277.293,359.249,326.015,1.552,678.497,,19.496,47.638,72.544,322.473,296.458,169.719,1007.79,1151.76,269.193,52.605,250.394,
5-17:00,18.81,15.482,83.409,1297.002,257.426,358.903,327.3,1.509,683.329,6.153,19.495,47.418,71.39,322.235,296.368,171.462,1015.299,1161.728,279.202,53.977,250.333,30.566
5-18:00,15.8,15.55,81.279,1285.565,244.627,359.04,329.133,1.558,694.519,,19.493,48.288,72.229,321.852,295.259,171.665,1014.791,1138.532,380.264,55.327,250.261,
5-19:00,17.9,15.817,82.199,1282.997,290.461,360.266,331.407,1.621,699.436,6.161,19.493,48.964,74.935,322.732,295.572,177.613,1004.109,1132.855,297.94,54.425,250.344,30.528
5-20:00,16.2,15.608,78.996,1283.677,311.322,359.096,330.664,1.571,684.337,,19.494,49.271,73.821,322.039,295.551,170.642,1037.597,1133.151,289.547,53.622,250.711,
5-21:00,16.7,16.25,79.768,1286.259,274.516,359.686,330.501,1.633,691.925,6.132,19.491,48.49,73.867,321.979,294.876,171.309,971.862,1126.428,289.993,54.573,250.699,30.546
5-22:00,14.8,16.125,81.645,1289.992,323.026,360.474,331.421,1.58,700.114,,19.489,48.437,74.096,322.21,294.366,172.555,950.195,1143.91,289.387,54.853,250.444,
5-23:00,16.8,15.8,91.179,1288.661,351.83,359.432,331.081,1.619,690.551,6.21,19.346,48.833,73.317,322.195,294.992,172.746,949.28,1144.151,102.033,54.87,250.582,30.38
6-00:00,15.3,14.133,92.536,1300.134,241.779,360.103,331,1.617,701.965,,19.292,49.15,74.536,322.206,294.446,179.869,897.349,1105.028,108.75,56.399,250.635,
6-01:00,15.8,14.05,108.104,1292.741,262.802,361.141,330.776,1.548,700.571,6.22,19.295,49.076,74.518,322.518,293.861,179.678,1090.372,1048.482,115.88,55.439,250.536,31.41
